BEGIN_YEARMONTH,STATE_FIPS,BEGIN_TIME,TOR_F_SCALE,STATE,CZ_NAME,TOR_LENGTH,TOR_WIDTH
195005,37.0,1400,F1,NORTH CAROLINA,PITT,2.0,33.0
195004,5.0,1530,F3,ARKANSAS,JACKSON,2.5,33.0
195004,1.0,145,F2,ALABAMA,BALDWIN,2.0,150.0
195003,5.0,1930,F2,ARKANSAS,HOT SPRING,13.3,150.0
195003,5.0,2115,F3,ARKANSAS,PRAIRIE,14.9,1760.0
195003,5.0,2330,F2,ARKANSAS,WOODRUFF,5.4,833.0
195011,21.0,220,F2,KENTUCKY,MUHLENBERG,0.0,33.0
195011,21.0,400,F1,KENTUCKY,SCOTT,0.0,33.0
195003,5.0,1931,F3,ARKANSAS,IZARD,5.7,200.0
195003,5.0,2030,F2,ARKANSAS,PULASKI,10.4,600.0
195003,12.0,915,F2,FLORIDA,ST. JOHNS,1.5,150.0
195005,12.0,1300,F1,FLORIDA,VOLUSIA,0.3,30.0
195005,12.0,1100,F1,FLORIDA,ORANGE,0.0,33.0
195005,12.0,1100,F2,FLORIDA,ORANGE,0.0,33.0
195004,5.0,1800,F1,ARKANSAS,MISSISSIPPI,0.8,100.0
195008,5.0,345,F2,ARKANSAS,ARKANSAS,3.6,200.0
195012,5.0,1625,F3,ARKANSAS,IZARD,7.8,33.0
195008,24.0,1700,F1,MARYLAND,KENT,6.0,33.0
195006,27.0,1642,F2,MINNESOTA,WILKIN,4.6,67.0
195008,29.0,100,F1,MISSOURI,GREENE,2.0,10.0
195005,46.0,430,F1,SOUTH DAKOTA,HUTCHINSON,1.0,33.0
195006,19.0,2000,F3,IOWA,STORY,5.6,300.0
195007,19.0,2000,F2,IOWA,BUCHANAN,14.0,33.0
195005,19.0,2100,F1,IOWA,MILLS,0.0,33.0
195005,19.0,1920,F2,IOWA,MONTGOMERY,0.0,200.0
195002,22.0,1300,F4,LOUISIANA,DE SOTO,29.8,100.0
195002,22.0,1320,F2,LOUISIANA,DE SOTO,46.2,100.0
195002,22.0,1400,F3,LOUISIANA,SABINE,17.6,100.0
195002,22.0,1400,F4,LOUISIANA,CADDO,9.0,100.0
195002,22.0,1420,F4,LOUISIANA,BOSSIER,30.7,100.0
195002,22.0,1430,F3,LOUISIANA,NATCHITOCHES,16.5,100.0
195002,22.0,1500,F3,LOUISIANA,NATCHITOCHES,13.3,100.0
195002,22.0,1500,F4,LOUISIANA,WEBSTER,13.1,100.0
195002,22.0,1520,F3,LOUISIANA,BIENVILLE,27.1,100.0
195002,22.0,2300,F1,LOUISIANA,EAST CARROLL,0.5,33.0
195003,22.0,730,F1,LOUISIANA,CALCASIEU,2.0,33.0
195003,22.0,1315,F0,LOUISIANA,JEFFERSON,18.1,27.0
195003,22.0,1315,F2,LOUISIANA,ASCENSION,1.0,50.0
195001,39.0,1600,F1,OHIO,VAN WERT,0.1,33.0
195007,39.0,1515,F2,OHIO,VAN WERT,0.0,200.0
195007,39.0,1515,F3,OHIO,ALLEN,9.7,300.0
195004,20.0,1700,F1,KANSAS,COFFEY,19.8,33.0
195005,20.0,2000,F1,KANSAS,RUSH,0.0,33.0
195005,20.0,2310,F4,KANSAS,BARTON,19.3,150.0
195005,20.0,2330,F4,KANSAS,PAWNEE,14.5,150.0
195005,20.0,330,F3,KANSAS,JACKSON,3.3,440.0
195005,20.0,340,F3,KANSAS,BROWN,14.0,440.0
195005,20.0,1830,F2,KANSAS,MITCHELL,12.6,660.0
195005,20.0,1900,F2,KANSAS,JEWELL,6.8,33.0
195006,38.0,1105,F3,NORTH DAKOTA,CASS,2.0,33.0
195006,38.0,1700,F3,NORTH DAKOTA,DIVIDE,23.7,33.0
195005,48.0,1630,F1,TEXAS,DAWSON,3.0,880.0
195005,48.0,1700,F1,TEXAS,DENTON,3.4,267.0
195006,48.0,1555,F3,TEXAS,WASHINGTON,23.9,67.0
195006,48.0,1600,F1,TEXAS,AUSTIN,23.7,33.0
195006,48.0,2040,F0,TEXAS,HARTLEY,15.8,167.0
195007,18.0,1430,F1,INDIANA,FOUNTAIN,4.3,200.0
195007,18.0,1745,F2,INDIANA,ALLEN,1.1,100.0
195007,8.0,1507,0,COLORADO,WELD,0.0,33.0
195007,18.0,1820,0,INDIANA,ST. JOSEPH,0.0,33.0
195008,8.0,1730,F2,COLORADO,SEDGWICK,0.0,33.0
195008,8.0,1735,F2,COLORADO,SEDGWICK,0.0,33.0
195004,45.0,1600,F1,SOUTH CAROLINA,BERKELEY,0.7,37.0
195001,5.0,525,F3,ARKANSAS,POLK,0.6,17.0
195002,48.0,1310,F2,TEXAS,BRAZORIA,9.9,400.0
195005,20.0,1930,F2,KANSAS,OSBORNE,19.6,440.0
195007,9.0,630,F2,CONNECTICUT,FAIRFIELD,5.0,100.0
195008,54.0,1655,F1,WEST VIRGINIA,WOOD,5.0,33.0
195002,22.0,1420,F2,LOUISIANA,CLAIBORNE,12.2,100.0
195004,1.0,130,F3,ALABAMA,MOBILE,14.0,100.0
195005,56.0,1300,F2,WYOMING,UINTA,2.0,33.0
195006,56.0,1530,F1,WYOMING,NIOBRARA,0.2,10.0
