BEGIN_YEARMONTH,STATE,EVENT_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
201305,KANSAS,Tornado,EF2,3.83,150.0
201302,LOUISIANA,Tornado,EF0,2.03,10.0
201311,ILLINOIS,Tornado,EF2,4.14,100.0
201311,ILLINOIS,Tornado,EF1,0.15,25.0
201311,ILLINOIS,Tornado,EF2,10.28,225.0
201311,ILLINOIS,Tornado,EF2,9.48,150.0
201308,COLORADO,Tornado,EF0,0.1,50.0
201311,ILLINOIS,Tornado,EF2,19.68,440.0
201311,ILLINOIS,Tornado,EF4,14.16,880.0
201311,INDIANA,Tornado,EF2,1.73,150.0
201308,COLORADO,Tornado,EF0,0.1,50.0
201311,ILLINOIS,Tornado,EF2,14.16,440.0
201311,ILLINOIS,Tornado,EF1,4.51,440.0
201311,ILLINOIS,Tornado,EF0,0.16,100.0
201312,MISSISSIPPI,Tornado,EF2,10.07,300.0
201302,TEXAS,Tornado,EF0,1.23,15.0
201311,ILLINOIS,Tornado,EF2,2.1,100.0
201312,MISSISSIPPI,Tornado,EF1,4.3,200.0
201312,MISSISSIPPI,Tornado,EF1,1.87,200.0
201302,TEXAS,Tornado,EF0,0.81,30.0
201302,TEXAS,Tornado,EF0,0.01,10.0
201302,TEXAS,Tornado,EF0,0.01,20.0
201311,INDIANA,Tornado,EF2,4.21,150.0
201311,KENTUCKY,Tornado,EF3,10.31,200.0
201311,KENTUCKY,Tornado,EF2,3.81,200.0
201312,MISSISSIPPI,Tornado,EF0,0.72,100.0
201311,KENTUCKY,Tornado,EF1,5.8,100.0
201305,OKLAHOMA,Tornado,EF3,15.0,1200.0
201311,ILLINOIS,Tornado,EF3,20.7,880.0
201311,ILLINOIS,Tornado,EF1,2.52,100.0
201301,ARKANSAS,Tornado,EF0,3.57,50.0
201301,ARKANSAS,Tornado,EF0,5.25,50.0
201311,OHIO,Tornado,EF1,1.04,75.0
201311,INDIANA,Tornado,EF1,1.22,125.0
201311,KENTUCKY,Tornado,EF3,8.23,200.0
201301,TENNESSEE,Tornado,EF1,3.23,125.0
201311,INDIANA,Tornado,EF1,0.68,125.0
201306,GEORGIA,Tornado,EF0,0.11,10.0
201305,COLORADO,Tornado,EF0,1.0,40.0
201311,KENTUCKY,Tornado,EF1,0.85,80.0
201305,OKLAHOMA,Tornado,EF4,1.85,1280.0
201311,ILLINOIS,Tornado,EF1,3.53,100.0
201311,ILLINOIS,Tornado,EF1,2.9,100.0
201302,TEXAS,Tornado,EF0,0.01,10.0
201311,INDIANA,Tornado,EF1,1.78,40.0
201311,INDIANA,Tornado,EF1,3.89,50.0
201306,GEORGIA,Tornado,EF1,8.5,75.0
201306,NORTH CAROLINA,Tornado,EF0,1.25,150.0
201311,ILLINOIS,Tornado,EF1,7.02,440.0
201311,KENTUCKY,Tornado,EF1,3.16,200.0
201312,ARKANSAS,Tornado,EF1,5.04,440.0
201305,OKLAHOMA,Tornado,EF3,16.2,4576.0
201311,ILLINOIS,Tornado,EF1,3.52,440.0
201311,ILLINOIS,Tornado,EF3,8.04,440.0
201311,ILLINOIS,Tornado,EF2,10.7,440.0
201311,INDIANA,Tornado,EF1,2.87,35.0
201311,INDIANA,Tornado,EF2,3.1,75.0
201311,OHIO,Tornado,EF2,4.24,100.0
201307,IDAHO,Tornado,EF0,1.0,10.0
201311,KENTUCKY,Tornado,EF2,12.21,300.0
201305,OKLAHOMA,Tornado,EF1,1.13,300.0
201305,OKLAHOMA,Tornado,EF2,5.0,150.0
201311,ILLINOIS,Tornado,EF3,14.67,880.0
201301,OKLAHOMA,Tornado,EF1,1.1,40.0
201311,INDIANA,Tornado,EF0,0.25,50.0
201311,MISSOURI,Tornado,EF3,14.25,600.0
201311,OHIO,Tornado,EF1,1.28,50.0
201308,COLORADO,Tornado,EF0,0.1,50.0
201308,COLORADO,Tornado,EF0,0.1,50.0
201308,COLORADO,Tornado,EF0,0.1,50.0
