MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210622,High Plains,29.66,70.34,53.9,38.82,18.44,6.08,6/22/2021,6/28/2021,1
20210622,Midwest,45.9,54.1,36.38,10.92,0.2,0,6/22/2021,6/28/2021,1
20210622,Northeast,58.57,41.43,19.45,1.11,0,0,6/22/2021,6/28/2021,1
20210622,South,84.32,15.68,7.14,3.96,2.26,0.59,6/22/2021,6/28/2021,1
20210622,Southeast,76.34,23.66,2.06,0,0,0,6/22/2021,6/28/2021,1
20210622,West,33.19,66.81,57.01,48.92,34.93,16.71,6/22/2021,6/28/2021,1
20210615,High Plains,35.36,64.64,51.34,35.11,17.36,6.04,6/15/2021,6/21/2021,1
20210615,Midwest,45.34,54.66,33.83,11.08,0.41,0,6/15/2021,6/21/2021,1
20210615,Northeast,59.01,40.99,13.84,0,0,0,6/15/2021,6/21/2021,1
20210615,South,86.58,13.42,6.97,3.95,2.26,0.59,6/15/2021,6/21/2021,1
20210615,Southeast,67.58,32.42,6.2,0.06,0,0,6/15/2021,6/21/2021,1
20210615,West,33.45,66.55,55.49,46.74,34.46,16.75,6/15/2021,6/21/2021,1
20210608,High Plains,37.52,62.48,49.52,33.77,17.15,6.04,6/8/2021,6/14/2021,1
20210608,Midwest,44.72,55.28,27.35,5.94,0,0,6/8/2021,6/14/2021,1
20210608,Northeast,56.12,43.88,9.32,0,0,0,6/8/2021,6/14/2021,1
20210608,South,85.18,14.82,7.13,4.03,2.26,0.59,6/8/2021,6/14/2021,1
20210608,Southeast,57.35,42.65,15.33,0.66,0,0,6/8/2021,6/14/2021,1
20210608,West,33.6,66.4,55.43,46.97,34.34,16.75,6/8/2021,6/14/2021,1
20210601,High Plains,39.48,60.52,47.98,30.5,18.56,5.8,6/1/2021,6/7/2021,1
20210601,Midwest,58.22,41.78,17.97,2.7,0,0,6/1/2021,6/7/2021,1
20210601,Northeast,59.73,40.27,2.83,0,0,0,6/1/2021,6/7/2021,1
20210601,South,79.92,20.08,10.63,5.6,3.25,1.27,6/1/2021,6/7/2021,1
20210601,Southeast,56,44,20.93,3.48,0,0,6/1/2021,6/7/2021,1
20210601,West,31.99,68.01,54.61,45.04,33.03,16.38,6/1/2021,6/7/2021,1
20210525,High Plains,31.19,68.81,47.67,29.93,18.56,5.8,5/25/2021,5/31/2021,1
20210525,Midwest,57.72,42.28,17.82,1.95,0,0,5/25/2021,5/31/2021,1
20210525,Northeast,52.41,47.59,2.83,0,0,0,5/25/2021,5/31/2021,1
20210525,South,75.17,24.83,13.82,8.15,4.57,2.5,5/25/2021,5/31/2021,1
20210525,Southeast,61.32,38.68,13.51,0,0,0,5/25/2021,5/31/2021,1
20210525,West,31.86,68.14,54.53,44.64,33.08,16.84,5/25/2021,5/31/2021,1
20210518,High Plains,27.91,72.09,51.18,31.94,21.24,5.67,5/18/2021,5/24/2021,1
20210518,Midwest,62.31,37.69,19.06,2.05,0,0,5/18/2021,5/24/2021,1
20210518,Northeast,73.46,26.54,2.05,0,0,0,5/18/2021,5/24/2021,1
20210518,South,68.26,31.74,17.99,10.41,6.14,3,5/18/2021,5/24/2021,1
20210518,Southeast,75.28,24.72,4.92,0,0,0,5/18/2021,5/24/2021,1
20210518,West,31.67,68.33,54.81,44.89,32.93,15.73,5/18/2021,5/24/2021,1
20210511,High Plains,19.61,80.39,59.22,33.57,21.67,3.35,5/11/2021,5/17/2021,1
20210511,Midwest,66.9,33.1,18.14,0.99,0,0,5/11/2021,5/17/2021,1
20210511,Northeast,74.62,25.38,2.05,0,0,0,5/11/2021,5/17/2021,1
20210511,South,60.26,39.74,24.5,14.39,8.54,3.96,5/11/2021,5/17/2021,1
20210511,Southeast,79.55,20.45,4.66,0,0,0,5/11/2021,5/17/2021,1
20210511,West,31.84,68.16,54.07,44.99,33.16,15.82,5/11/2021,5/17/2021,1
20210504,High Plains,17.66,82.34,60.28,37.62,22.28,3.35,5/4/2021,5/10/2021,1
20210504,Midwest,55.72,44.28,21.43,0.99,0,0,5/4/2021,5/10/2021,1
20210504,Northeast,42.83,57.17,9.06,0,0,0,5/4/2021,5/10/2021,1
20210504,South,60.55,39.45,25.02,14.35,8.46,3.96,5/4/2021,5/10/2021,1
20210504,Southeast,77.29,22.71,0.51,0,0,0,5/4/2021,5/10/2021,1
20210504,West,31.78,68.22,53.12,44.35,33.09,14.88,5/4/2021,5/10/2021,1
20210427,High Plains,18.35,81.65,63.52,40.57,22.13,3.41,4/27/2021,5/3/2021,1
20210427,Midwest,52.03,47.97,19.4,0.99,0,0,4/27/2021,5/3/2021,1
20210427,Northeast,45.9,54.1,13.54,0,0,0,4/27/2021,5/3/2021,1
20210427,South,48.38,51.62,35.47,19.93,12.49,4.92,4/27/2021,5/3/2021,1
20210427,Southeast,73.57,26.43,0.87,0,0,0,4/27/2021,5/3/2021,1
20210427,West,32.05,67.95,52.05,42,30.19,14.88,4/27/2021,5/3/2021,1
20210420,High Plains,19.9,80.1,64.58,39.96,21.18,2.99,4/20/2021,4/26/2021,1
20210420,Midwest,67.96,32.04,12.11,0.99,0,0,4/20/2021,4/26/2021,1
20210420,Northeast,51.74,48.26,15.1,0,0,0,4/20/2021,4/26/2021,1
20210420,South,47.18,52.82,37.01,19.89,12.16,4.52,4/20/2021,4/26/2021,1
20210420,Southeast,75.58,24.42,0.38,0,0,0,4/20/2021,4/26/2021,1
20210420,West,33.06,66.94,51.26,40.95,29.5,14.91,4/20/2021,4/26/2021,1
20210413,High Plains,19.73,80.27,64.43,41.83,23.57,2.99,4/13/2021,4/19/2021,1
20210413,Midwest,69,31,7,1.02,0,0,4/13/2021,4/19/2021,1
20210413,Northeast,52.26,47.74,15.1,0,0,0,4/13/2021,4/19/2021,1
