date,Average Temperature,departure Average Temperature,region,Precipitation,departure Precipitation,Maximum Temperature,departure Maximum Temperature,Minimum Temperature,departure Minimum Temperature
1992-01-01,23.5,2.2,Northeast Climate Region,2.47,-0.68,32.5,2.0,14.6,2.4
1992-02-01,25.7,3.2,Northeast Climate Region,2.22,-0.50,34.9,2.4,16.5,3.9
1992-03-01,30.0,-2.3,Northeast Climate Region,3.70,0.29,39.8,-2.5,20.2,-2.2
1992-04-01,42.9,-0.9,Northeast Climate Region,2.74,-0.76,53.1,-1.6,32.8,-0.2
1992-05-01,54.6,-0.6,Northeast Climate Region,2.77,-0.89,67.4,0.3,41.8,-1.5
1992-06-01,62.4,-1.6,Northeast Climate Region,3.41,-0.46,73.8,-1.8,50.9,-1.6
1992-07-01,66.2,-2.7,Northeast Climate Region,5.66,1.68,76.2,-4.0,56.2,-1.4
1992-08-01,65.0,-1.7,Northeast Climate Region,4.16,0.32,75.2,-2.7,54.8,-0.8
1992-09-01,59.4,-0.2,Northeast Climate Region,3.83,0.14,70.0,-0.7,48.7,0.2
1992-10-01,45.4,-3.3,Northeast Climate Region,2.66,-0.74,55.6,-3.9,35.1,-2.8
1992-11-01,37.2,0.0,Northeast Climate Region,4.30,0.80,44.4,-1.3,29.9,1.2
1992-12-01,28.0,2.3,Northeast Climate Region,3.35,0.03,35.6,1.7,20.5,3.1
1993-01-01,25.4,4.1,Northeast Climate Region,2.68,-0.47,33.6,3.1,17.3,5.1
1993-02-01,17.5,-5.0,Northeast Climate Region,2.72,0.00,28.5,-4.0,6.5,-6.1
1993-03-01,29.8,-2.5,Northeast Climate Region,4.71,1.30,40.1,-2.2,19.5,-2.9
1993-04-01,45.0,1.2,Northeast Climate Region,5.51,2.01,55.8,1.1,34.2,1.2
1993-05-01,56.4,1.2,Northeast Climate Region,1.86,-1.80,68.8,1.7,44.0,0.7
1993-06-01,63.8,-0.2,Northeast Climate Region,3.67,-0.20,75.5,-0.1,52.0,-0.5
1993-07-01,70.3,1.4,Northeast Climate Region,2.80,-1.18,81.5,1.3,59.0,1.4
1993-08-01,68.8,2.1,Northeast Climate Region,2.98,-0.86,80.2,2.3,57.4,1.8
1993-09-01,59.0,-0.6,Northeast Climate Region,5.11,1.42,68.9,-1.8,49.2,0.7
1993-10-01,46.3,-2.4,Northeast Climate Region,3.52,0.12,56.8,-2.7,35.7,-2.2
1993-11-01,37.6,0.4,Northeast Climate Region,4.20,0.70,46.8,1.1,28.4,-0.3
1993-12-01,26.5,0.8,Northeast Climate Region,3.88,0.56,34.4,0.5,18.7,1.3
1994-01-01,13.1,-8.2,Northeast Climate Region,4.46,1.31,23.2,-7.3,3.0,-9.2
1994-02-01,19.4,-3.1,Northeast Climate Region,2.35,-0.37,30.0,-2.5,8.8,-3.8
1994-03-01,31.6,-0.7,Northeast Climate Region,5.15,1.74,40.6,-1.7,22.6,0.2
1994-04-01,46.3,2.5,Northeast Climate Region,3.59,0.09,58.0,3.3,34.6,1.6
1994-05-01,52.9,-2.3,Northeast Climate Region,3.69,0.03,64.6,-2.5,41.1,-2.2
1994-06-01,67.0,3.0,Northeast Climate Region,4.24,0.37,78.6,3.0,55.4,2.9
1994-07-01,71.4,2.5,Northeast Climate Region,4.11,0.13,81.8,1.6,61.1,3.5
1994-08-01,65.5,-1.2,Northeast Climate Region,5.33,1.49,76.1,-1.8,54.9,-0.7
1994-09-01,58.7,-0.9,Northeast Climate Region,3.69,0.00,68.7,-2.0,48.6,0.1
1994-10-01,48.6,-0.1,Northeast Climate Region,1.14,-2.26,60.3,0.8,36.9,-1.0
1994-11-01,42.1,4.9,Northeast Climate Region,4.10,0.60,52.0,6.3,32.2,3.5
1994-12-01,31.3,5.6,Northeast Climate Region,2.86,-0.46,40.2,6.3,22.4,5.0
1995-01-01,27.6,6.3,Northeast Climate Region,3.56,0.41,35.0,4.5,20.4,8.2
1995-02-01,20.6,-1.9,Northeast Climate Region,2.28,-0.44,30.8,-1.7,10.4,-2.2
1995-03-01,36.2,3.9,Northeast Climate Region,2.01,-1.40,46.5,4.2,25.9,3.5
1995-04-01,41.8,-2.0,Northeast Climate Region,2.33,-1.17,52.9,-1.8,30.7,-2.3
1995-05-01,54.4,-0.8,Northeast Climate Region,3.24,-0.42,65.6,-1.5,43.1,-0.2
1995-06-01,66.1,2.1,Northeast Climate Region,2.51,-1.36,78.0,2.4,54.1,1.6
1995-07-01,71.3,2.4,Northeast Climate Region,3.86,-0.12,82.1,1.9,60.5,2.9
1995-08-01,69.4,2.7,Northeast Climate Region,2.14,-1.70,81.6,3.7,57.2,1.6
1995-09-01,57.8,-1.8,Northeast Climate Region,2.90,-0.79,69.9,-0.8,45.7,-2.8
1995-10-01,52.6,3.9,Northeast Climate Region,7.17,3.77,63.7,4.2,41.5,3.6
1995-11-01,34.2,-3.0,Northeast Climate Region,4.90,1.40,41.9,-3.8,26.6,-2.1
1995-12-01,22.5,-3.2,Northeast Climate Region,2.55,-0.77,29.8,-4.1,15.2,-2.2
1996-01-01,20.6,-0.7,Northeast Climate Region,5.26,2.11,30.2,-0.3,11.1,-1.1
1996-02-01,23.6,1.1,Northeast Climate Region,2.65,-0.07,32.4,-0.1,14.9,2.3
1996-03-01,29.7,-2.6,Northeast Climate Region,2.75,-0.66,40.1,-2.2,19.4,-3.0
1996-04-01,43.9,0.1,Northeast Climate Region,5.18,1.68,54.4,-0.3,33.5,0.5
1996-05-01,53.5,-1.7,Northeast Climate Region,4.80,1.14,64.6,-2.5,42.3,-1.0
1996-06-01,65.7,1.7,Northeast Climate Region,4.76,0.89,76.3,0.7,55.2,2.7
1996-07-01,67.3,-1.6,Northeast Climate Region,6.49,2.51,77.2,-3.0,57.3,-0.3
1996-08-01,67.6,0.9,Northeast Climate Region,2.56,-1.28,78.6,0.7,56.6,1.0
1996-09-01,60.5,0.9,Northeast Climate Region,5.78,2.09,69.8,-0.9,51.2,2.7
1996-10-01,48.4,-0.3,Northeast Climate Region,4.91,1.51,58.9,-0.6,37.9,0.0
1996-11-01,33.9,-3.3,Northeast Climate Region,3.57,0.07,41.8,-3.9,26.1,-2.6
1996-12-01,32.6,6.9,Northeast Climate Region,5.69,2.37,39.1,5.2,26.1,8.7
1997-01-01,21.7,0.4,Northeast Climate Region,3.02,-0.13,30.8,0.3,12.6,0.4
1997-02-01,28.6,6.1,Northeast Climate Region,2.39,-0.33,38.4,5.9,18.7,6.1
1997-03-01,32.1,-0.2,Northeast Climate Region,4.03,0.62,41.9,-0.4,22.3,-0.1
1997-04-01,42.1,-1.7,Northeast Climate Region,2.79,-0.71,53.2,-1.5,31.0,-2.0
1997-05-01,51.1,-4.1,Northeast Climate Region,3.57,-0.09,62.1,-5.0,40.0,-3.3
1997-06-01,64.6,0.6,Northeast Climate Region,2.96,-0.91,76.8,1.2,52.5,0.0
1997-07-01,68.3,-0.6,Northeast Climate Region,3.39,-0.59,80.1,-0.1,56.5,-1.1
1997-08-01,65.9,-0.8,Northeast Climate Region,4.61,0.77,76.8,-1.1,55.0,-0.6
1997-09-01,58.9,-0.7,Northeast Climate Region,3.24,-0.45,69.3,-1.4,48.4,-0.1
1997-10-01,48.0,-0.7,Northeast Climate Region,1.89,-1.51,59.0,-0.5,37.0,-0.9
1997-11-01,35.7,-1.5,Northeast Climate Region,5.07,1.57,43.1,-2.6,28.2,-0.5
1997-12-01,28.5,2.8,Northeast Climate Region,2.89,-0.43,36.2,2.3,20.8,3.4
1998-01-01,28.7,7.4,Northeast Climate Region,5.12,1.97,36.3,5.8,21.1,8.9
1998-02-01,31.6,9.1,Northeast Climate Region,3.50,0.78,40.4,7.9,22.9,10.3
1998-03-01,36.2,3.9,Northeast Climate Region,4.07,0.66,45.5,3.2,26.8,4.4
1998-04-01,46.8,3.0,Northeast Climate Region,3.87,0.37,58.5,3.8,35.2,2.2
1998-05-01,60.4,5.2,Northeast Climate Region,3.96,0.30,72.0,4.9,48.7,5.4
1998-06-01,64.0,0.0,Northeast Climate Region,6.58,2.71,73.5,-2.1,54.5,2.0
1998-07-01,68.8,-0.1,Northeast Climate Region,3.45,-0.53,79.8,-0.4,57.8,0.2
1998-08-01,68.7,2.0,Northeast Climate Region,3.08,-0.76,80.1,2.2,57.3,1.7
1998-09-01,62.1,2.5,Northeast Climate Region,2.58,-1.11,73.5,2.8,50.7,2.2
1998-10-01,49.9,1.2,Northeast Climate Region,3.48,0.08,59.5,0.0,40.3,2.4
1998-11-01,39.1,1.9,Northeast Climate Region,1.92,-1.58,47.4,1.7,30.9,2.2
1998-12-01,33.3,7.6,Northeast Climate Region,1.68,-1.64,42.6,8.7,23.9,6.5
1999-01-01,23.0,1.7,Northeast Climate Region,5.83,2.68,32.9,2.4,13.0,0.8
1999-02-01,28.2,5.7,Northeast Climate Region,2.03,-0.69,38.2,5.7,18.2,5.6
1999-03-01,33.0,0.7,Northeast Climate Region,4.32,0.91,42.5,0.2,23.6,1.2
1999-04-01,45.5,1.7,Northeast Climate Region,2.15,-1.35,57.0,2.3,33.9,0.9
1999-05-01,57.9,2.7,Northeast Climate Region,2.79,-0.87,70.7,3.6,45.0,1.7
1999-06-01,67.0,3.0,Northeast Climate Region,2.39,-1.48,79.3,3.7,54.7,2.2
1999-07-01,72.1,3.2,Northeast Climate Region,2.97,-1.01,83.8,3.6,60.4,2.8
1999-08-01,67.2,0.5,Northeast Climate Region,3.32,-0.52,78.5,0.6,55.9,0.3
1999-09-01,62.9,3.3,Northeast Climate Region,8.05,4.36,73.6,2.9,52.1,3.6
1999-10-01,47.3,-1.4,Northeast Climate Region,3.35,-0.05,58.5,-1.0,36.2,-1.7
1999-11-01,42.8,5.6,Northeast Climate Region,3.14,-0.36,52.1,6.4,33.5,4.8
1999-12-01,30.2,4.5,Northeast Climate Region,2.40,-0.92,38.2,4.3,22.2,4.8
2000-01-01,21.4,0.1,Northeast Climate Region,3.17,0.02,30.8,0.3,11.9,-0.3
2000-02-01,27.2,4.7,Northeast Climate Region,2.92,0.20,37.2,4.7,17.2,4.6
2000-03-01,39.1,6.8,Northeast Climate Region,3.62,0.21,49.9,7.6,28.3,5.9
2000-04-01,44.2,0.4,Northeast Climate Region,5.09,1.59,54.1,-0.6,34.3,1.3
2000-05-01,56.6,1.4,Northeast Climate Region,4.81,1.15,67.7,0.6,45.4,2.1
2000-06-01,64.5,0.5,Northeast Climate Region,4.68,0.81,75.1,-0.5,53.9,1.4
2000-07-01,65.8,-3.1,Northeast Climate Region,4.43,0.45,76.2,-4.0,55.4,-2.2
2000-08-01,66.2,-0.5,Northeast Climate Region,3.71,-0.13,76.1,-1.8,56.2,0.6
2000-09-01,58.9,-0.7,Northeast Climate Region,3.60,-0.09,69.8,-0.9,48.0,-0.5
2000-10-01,49.5,0.8,Northeast Climate Region,2.36,-1.04,60.6,1.1,38.4,0.5
2000-11-01,37.7,0.5,Northeast Climate Region,2.75,-0.75,45.2,-0.5,30.1,1.4
2000-12-01,21.3,-4.4,Northeast Climate Region,3.67,0.35,29.8,-4.1,12.8,-4.6
2001-01-01,22.6,1.3,Northeast Climate Region,1.82,-1.33,31.5,1.0,13.8,1.6
2001-02-01,26.0,3.5,Northeast Climate Region,2.29,-0.43,35.6,3.1,16.5,3.9
2001-03-01,30.2,-2.1,Northeast Climate Region,4.90,1.49,39.0,-3.3,21.4,-1.0
2001-04-01,45.2,1.4,Northeast Climate Region,1.67,-1.83,57.0,2.3,33.5,0.5
2001-05-01,57.4,2.2,Northeast Climate Region,2.89,-0.77,70.0,2.9,44.8,1.5
2001-06-01,65.9,1.9,Northeast Climate Region,4.37,0.50,77.2,1.6,54.6,2.1
2001-07-01,66.7,-2.2,Northeast Climate Region,3.06,-0.92,78.1,-2.1,55.3,-2.3
2001-08-01,70.5,3.8,Northeast Climate Region,2.93,-0.91,82.2,4.3,58.9,3.3
2001-09-01,60.1,0.5,Northeast Climate Region,3.81,0.12,71.8,1.1,48.4,-0.1
2001-10-01,50.6,1.9,Northeast Climate Region,1.93,-1.47,62.2,2.7,39.0,1.1
2001-11-01,43.2,6.0,Northeast Climate Region,1.98,-1.52,53.2,7.5,33.2,4.5
2001-12-01,34.2,8.5,Northeast Climate Region,2.50,-0.82,42.3,8.4,26.1,8.7
2002-01-01,29.6,8.3,Northeast Climate Region,2.33,-0.82,37.7,7.2,21.5,9.3
2002-02-01,29.7,7.2,Northeast Climate Region,2.14,-0.58,40.3,7.8,19.1,6.5
2002-03-01,34.6,2.3,Northeast Climate Region,3.75,0.34,44.6,2.3,24.7,2.3
2002-04-01,47.0,3.2,Northeast Climate Region,4.08,0.58,57.8,3.1,36.1,3.1
2002-05-01,53.0,-2.2,Northeast Climate Region,4.82,1.16,64.7,-2.4,41.3,-2.0
2002-06-01,64.6,0.6,Northeast Climate Region,4.91,1.04,75.9,0.3,53.3,0.8
2002-07-01,70.5,1.6,Northeast Climate Region,2.55,-1.43,81.9,1.7,59.0,1.4
2002-08-01,70.2,3.5,Northeast Climate Region,2.38,-1.46,82.4,4.5,58.1,2.5
2002-09-01,63.4,3.8,Northeast Climate Region,4.39,0.70,75.3,4.6,51.5,3.0
2002-10-01,47.2,-1.5,Northeast Climate Region,4.45,1.05,56.1,-3.4,38.2,0.3
2002-11-01,36.7,-0.5,Northeast Climate Region,4.15,0.65,44.2,-1.5,29.2,0.5
2002-12-01,26.0,0.3,Northeast Climate Region,3.70,0.38,34.1,0.2,17.9,0.5
2003-01-01,16.6,-4.7,Northeast Climate Region,2.23,-0.92,25.0,-5.5,8.3,-3.9
2003-02-01,20.0,-2.5,Northeast Climate Region,3.22,0.50,29.2,-3.3,10.8,-1.8
2003-03-01,32.9,0.6,Northeast Climate Region,3.23,-0.18,44.6,2.3,21.3,-1.1
2003-04-01,42.9,-0.9,Northeast Climate Region,2.69,-0.81,53.9,-0.8,31.8,-1.2
2003-05-01,54.0,-1.2,Northeast Climate Region,4.61,0.95,64.3,-2.8,43.8,0.5
2003-06-01,63.5,-0.5,Northeast Climate Region,4.88,1.01,73.9,-1.7,53.1,0.6
2003-07-01,69.0,0.1,Northeast Climate Region,4.44,0.46,79.6,-0.6,58.5,0.9
2003-08-01,69.8,3.1,Northeast Climate Region,4.89,1.05,79.6,1.7,60.0,4.4
2003-09-01,61.2,1.6,Northeast Climate Region,5.83,2.14,71.3,0.6,51.1,2.6
2003-10-01,47.4,-1.3,Northeast Climate Region,5.59,2.19,57.6,-1.9,37.2,-0.7
2003-11-01,41.6,4.4,Northeast Climate Region,4.24,0.74,50.5,4.8,32.6,3.9
2003-12-01,28.4,2.7,Northeast Climate Region,5.14,1.82,36.7,2.8,20.0,2.6
2004-01-01,15.0,-6.3,Northeast Climate Region,2.10,-1.05,23.2,-7.3,6.8,-5.4
2004-02-01,24.0,1.5,Northeast Climate Region,1.80,-0.92,34.4,1.9,13.6,1.0
2004-03-01,35.9,3.6,Northeast Climate Region,2.37,-1.04,45.4,3.1,26.4,4.0
2004-04-01,45.4,1.6,Northeast Climate Region,4.51,1.01,55.9,1.2,34.9,1.9
2004-05-01,59.3,4.1,Northeast Climate Region,4.83,1.17,70.9,3.8,47.7,4.4
2004-06-01,62.7,-1.3,Northeast Climate Region,3.29,-0.58,73.9,-1.7,51.6,-0.9
2004-07-01,68.1,-0.8,Northeast Climate Region,5.88,1.90,77.7,-2.5,58.6,1.0
2004-08-01,67.1,0.4,Northeast Climate Region,5.76,1.92,76.9,-1.0,57.3,1.7
2004-09-01,61.9,2.3,Northeast Climate Region,5.82,2.13,72.5,1.8,51.2,2.7
2004-10-01,49.0,0.3,Northeast Climate Region,2.29,-1.11,58.9,-0.6,39.2,1.3
2004-11-01,39.7,2.5,Northeast Climate Region,3.73,0.23,48.5,2.8,30.8,2.1
2004-12-01,27.2,1.5,Northeast Climate Region,3.97,0.65,36.0,2.1,18.4,1.0
2005-01-01,20.9,-0.4,Northeast Climate Region,4.07,0.92,29.9,-0.6,11.9,-0.3
2005-02-01,26.2,3.7,Northeast Climate Region,2.34,-0.38,36.4,3.9,16.0,3.4
2005-03-01,29.7,-2.6,Northeast Climate Region,3.60,0.19,39.5,-2.8,20.0,-2.4
2005-04-01,46.8,3.0,Northeast Climate Region,4.97,1.47,59.2,4.5,34.5,1.5
2005-05-01,51.6,-3.6,Northeast Climate Region,3.12,-0.54,62.6,-4.5,40.6,-2.7
2005-06-01,68.2,4.2,Northeast Climate Region,3.39,-0.48,79.6,4.0,56.9,4.4
2005-07-01,71.2,2.3,Northeast Climate Region,4.16,0.18,82.1,1.9,60.3,2.7
2005-08-01,70.4,3.7,Northeast Climate Region,3.79,-0.05,81.3,3.4,59.5,3.9
2005-09-01,63.7,4.1,Northeast Climate Region,3.04,-0.65,75.5,4.8,51.9,3.4
2005-10-01,50.8,2.1,Northeast Climate Region,9.39,5.99,59.0,-0.5,42.7,4.8
2005-11-01,40.8,3.6,Northeast Climate Region,4.93,1.43,50.7,5.0,30.9,2.2
2005-12-01,25.3,-0.4,Northeast Climate Region,3.43,0.11,32.9,-1.0,17.7,0.3
2006-01-01,31.0,9.7,Northeast Climate Region,4.35,1.20,39.8,9.3,22.3,10.1
2006-02-01,26.2,3.7,Northeast Climate Region,2.08,-0.64,34.9,2.4,17.5,4.9
2006-03-01,34.0,1.7,Northeast Climate Region,1.33,-2.08,43.7,1.4,24.2,1.8
2006-04-01,47.3,3.5,Northeast Climate Region,3.22,-0.28,59.7,5.0,35.0,2.0
2006-05-01,56.2,1.0,Northeast Climate Region,4.65,0.99,67.4,0.3,45.1,1.8
2006-06-01,65.4,1.4,Northeast Climate Region,7.88,4.01,75.3,-0.3,55.5,3.0
2006-07-01,71.7,2.8,Northeast Climate Region,4.98,1.00,82.1,1.9,61.4,3.8
2006-08-01,67.6,0.9,Northeast Climate Region,3.95,0.11,78.4,0.5,56.8,1.2
2006-09-01,59.0,-0.6,Northeast Climate Region,4.26,0.57,68.7,-2.0,49.4,0.9
2006-10-01,48.0,-0.7,Northeast Climate Region,6.36,2.96,57.6,-1.9,38.3,0.4
2006-11-01,43.1,5.9,Northeast Climate Region,4.28,0.78,51.3,5.6,34.9,6.2
2006-12-01,34.7,9.0,Northeast Climate Region,2.83,-0.49,43.1,9.2,26.4,9.0
2007-01-01,26.7,5.4,Northeast Climate Region,3.50,0.35,35.2,4.7,18.2,6.0
2007-02-01,18.0,-4.5,Northeast Climate Region,2.26,-0.46,26.9,-5.6,9.0,-3.6
2007-03-01,32.7,0.4,Northeast Climate Region,3.97,0.56,43.8,1.5,21.6,-0.8
2007-04-01,42.3,-1.5,Northeast Climate Region,5.56,2.06,52.0,-2.7,32.7,-0.3
2007-05-01,57.1,1.9,Northeast Climate Region,2.32,-1.34,70.6,3.5,43.6,0.3
2007-06-01,65.8,1.8,Northeast Climate Region,3.27,-0.60,77.9,2.3,53.7,1.2
2007-07-01,67.9,-1.0,Northeast Climate Region,4.07,0.09,79.0,-1.2,56.8,-0.8
2007-08-01,68.4,1.7,Northeast Climate Region,3.81,-0.03,79.7,1.8,57.2,1.6
2007-09-01,62.4,2.8,Northeast Climate Region,2.49,-1.20,74.5,3.8,50.2,1.7
2007-10-01,55.4,6.7,Northeast Climate Region,4.61,1.21,65.7,6.2,45.0,7.1
2007-11-01,37.0,-0.2,Northeast Climate Region,4.40,0.90,45.4,-0.3,28.6,-0.1
2007-12-01,26.9,1.2,Northeast Climate Region,4.75,1.43,34.3,0.4,19.6,2.2
2008-01-01,26.3,5.0,Northeast Climate Region,2.27,-0.88,35.0,4.5,17.6,5.4
2008-02-01,25.4,2.9,Northeast Climate Region,5.57,2.85,34.5,2.0,16.2,3.6
2008-03-01,31.6,-0.7,Northeast Climate Region,4.93,1.52,41.7,-0.6,21.5,-0.9
2008-04-01,48.2,4.4,Northeast Climate Region,3.43,-0.07,60.5,5.8,35.8,2.8
2008-05-01,53.0,-2.2,Northeast Climate Region,2.95,-0.71,65.2,-1.9,40.7,-2.6
2008-06-01,66.8,2.8,Northeast Climate Region,4.79,0.92,77.5,1.9,56.1,3.6
2008-07-01,70.3,1.4,Northeast Climate Region,5.21,1.23,81.0,0.8,59.6,2.0
2008-08-01,65.9,-0.8,Northeast Climate Region,3.87,0.03,76.8,-1.1,55.1,-0.5
2008-09-01,61.4,1.8,Northeast Climate Region,4.84,1.15,72.1,1.4,50.6,2.1
2008-10-01,47.6,-1.1,Northeast Climate Region,3.63,0.23,58.4,-1.1,36.8,-1.1
2008-11-01,37.8,0.6,Northeast Climate Region,3.39,-0.11,45.5,-0.2,30.2,1.5
2008-12-01,27.9,2.2,Northeast Climate Region,5.59,2.27,36.8,2.9,18.9,1.5
2009-01-01,16.7,-4.6,Northeast Climate Region,2.70,-0.45,26.0,-4.5,7.4,-4.8
2009-02-01,26.2,3.7,Northeast Climate Region,1.71,-1.01,36.2,3.7,16.2,3.6
2009-03-01,34.0,1.7,Northeast Climate Region,2.48,-0.93,44.9,2.6,23.2,0.8
2009-04-01,46.8,3.0,Northeast Climate Region,3.39,-0.11,58.6,3.9,35.1,2.1
2009-05-01,56.0,0.8,Northeast Climate Region,4.68,1.02,67.5,0.4,44.4,1.1
2009-06-01,63.0,-1.0,Northeast Climate Region,5.54,1.67,72.8,-2.8,53.1,0.6
2009-07-01,66.2,-2.7,Northeast Climate Region,5.85,1.87,76.0,-4.2,56.3,-1.3
2009-08-01,69.1,2.4,Northeast Climate Region,4.94,1.10,79.3,1.4,59.0,3.4
2009-09-01,59.2,-0.4,Northeast Climate Region,2.51,-1.18,70.0,-0.7,48.4,-0.1
2009-10-01,46.7,-2.0,Northeast Climate Region,5.11,1.71,55.3,-4.2,38.1,0.2
2009-11-01,42.9,5.7,Northeast Climate Region,2.90,-0.60,51.9,6.2,34.0,5.3
2009-12-01,26.7,1.0,Northeast Climate Region,4.53,1.21,34.2,0.3,19.3,1.9
2010-01-01,23.9,2.6,Northeast Climate Region,2.82,-0.33,31.4,0.9,16.3,4.1
2010-02-01,25.9,3.4,Northeast Climate Region,3.06,0.34,32.4,-0.1,19.3,6.7
2010-03-01,39.6,7.3,Northeast Climate Region,4.98,1.57,49.6,7.3,29.7,7.3
2010-04-01,50.0,6.2,Northeast Climate Region,2.35,-1.15,62.6,7.9,37.4,4.4
2010-05-01,59.0,3.8,Northeast Climate Region,2.92,-0.74,71.3,4.2,46.7,3.4
2010-06-01,66.5,2.5,Northeast Climate Region,4.48,0.61,77.2,1.6,55.8,3.3
2010-07-01,72.4,3.5,Northeast Climate Region,3.87,-0.11,83.6,3.4,61.2,3.6
2010-08-01,69.1,2.4,Northeast Climate Region,3.54,-0.30,79.9,2.0,58.3,2.7
2010-09-01,62.3,2.7,Northeast Climate Region,3.74,0.05,72.9,2.2,51.7,3.2
2010-10-01,49.6,0.9,Northeast Climate Region,6.17,2.77,59.4,-0.1,39.8,1.9
2010-11-01,39.0,1.8,Northeast Climate Region,3.44,-0.06,47.9,2.2,30.0,1.3
2010-12-01,24.9,-0.8,Northeast Climate Region,3.97,0.65,31.7,-2.2,18.2,0.8
2011-01-01,20.3,-1.0,Northeast Climate Region,2.21,-0.94,28.5,-2.0,12.1,-0.1
2011-02-01,24.1,1.6,Northeast Climate Region,3.41,0.69,34.7,2.2,13.5,0.9
2011-03-01,33.0,0.7,Northeast Climate Region,4.98,1.57,42.7,0.4,23.3,0.9
2011-04-01,46.2,2.4,Northeast Climate Region,6.33,2.83,56.2,1.5,36.3,3.3
2011-05-01,58.3,3.1,Northeast Climate Region,5.42,1.76,68.4,1.3,48.3,5.0
2011-06-01,65.6,1.6,Northeast Climate Region,3.94,0.07,76.4,0.8,54.8,2.3
2011-07-01,72.2,3.3,Northeast Climate Region,3.03,-0.95,84.0,3.8,60.4,2.8
2011-08-01,68.4,1.7,Northeast Climate Region,8.28,4.44,78.7,0.8,58.0,2.4
2011-09-01,63.2,3.6,Northeast Climate Region,7.22,3.53,72.2,1.5,54.1,5.6
2011-10-01,50.4,1.7,Northeast Climate Region,4.91,1.51,59.3,-0.2,41.4,3.5
2011-11-01,43.4,6.2,Northeast Climate Region,3.24,-0.26,53.5,7.8,33.2,4.5
2011-12-01,32.7,7.0,Northeast Climate Region,3.70,0.38,41.2,7.3,24.2,6.8
2012-01-01,26.8,5.5,Northeast Climate Region,3.14,-0.01,35.7,5.2,17.9,5.7
2012-02-01,30.6,8.1,Northeast Climate Region,1.46,-1.26,39.5,7.0,21.6,9.0
2012-03-01,43.4,11.1,Northeast Climate Region,2.14,-1.27,54.6,12.3,32.1,9.7
2012-04-01,46.0,2.2,Northeast Climate Region,2.95,-0.55,57.7,3.0,34.3,1.3
2012-05-01,60.5,5.3,Northeast Climate Region,4.62,0.96,71.6,4.5,49.4,6.1
2012-06-01,64.8,0.8,Northeast Climate Region,4.32,0.45,76.0,0.4,53.7,1.2
2012-07-01,72.1,3.2,Northeast Climate Region,3.37,-0.61,83.6,3.4,60.6,3.0
2012-08-01,69.6,2.9,Northeast Climate Region,3.84,0.00,80.7,2.8,58.4,2.8
2012-09-01,60.5,0.9,Northeast Climate Region,4.92,1.23,71.6,0.9,49.5,1.0
2012-10-01,51.6,2.9,Northeast Climate Region,5.66,2.26,60.6,1.1,42.5,4.6
2012-11-01,36.5,-0.7,Northeast Climate Region,1.10,-2.40,45.1,-0.6,28.0,-0.7
2012-12-01,32.4,6.7,Northeast Climate Region,5.15,1.83,39.6,5.7,25.2,7.8
2013-01-01,25.0,3.7,Northeast Climate Region,2.29,-0.86,33.8,3.3,16.2,4.0
2013-02-01,25.3,2.8,Northeast Climate Region,2.56,-0.16,33.2,0.7,17.4,4.8
2013-03-01,32.7,0.4,Northeast Climate Region,2.29,-1.12,40.7,-1.6,24.7,2.3
2013-04-01,45.1,1.3,Northeast Climate Region,2.71,-0.79,56.5,1.8,33.8,0.8
2013-05-01,57.2,2.0,Northeast Climate Region,4.37,0.71,69.4,2.3,44.9,1.6
2013-06-01,65.3,1.3,Northeast Climate Region,7.26,3.39,75.7,0.1,54.9,2.4
2013-07-01,72.0,3.1,Northeast Climate Region,4.93,0.95,81.8,1.6,62.2,4.6
2013-08-01,66.6,-0.1,Northeast Climate Region,4.01,0.17,77.3,-0.6,55.9,0.3
2013-09-01,59.6,0.0,Northeast Climate Region,3.47,-0.22,70.9,0.2,48.3,-0.2
2013-10-01,51.5,2.8,Northeast Climate Region,2.84,-0.56,61.9,2.4,41.0,3.1
2013-11-01,36.0,-1.2,Northeast Climate Region,3.71,0.21,44.9,-0.8,27.0,-1.7
2013-12-01,26.6,0.9,Northeast Climate Region,3.90,0.58,34.6,0.7,18.7,1.3
2014-01-01,18.6,-2.7,Northeast Climate Region,2.82,-0.33,28.2,-2.3,9.1,-3.1
2014-02-01,21.0,-1.5,Northeast Climate Region,3.30,0.58,30.8,-1.7,11.2,-1.4
2014-03-01,26.0,-6.3,Northeast Climate Region,3.35,-0.06,37.0,-5.3,15.0,-7.4
2014-04-01,44.6,0.8,Northeast Climate Region,3.74,0.24,56.4,1.7,32.8,-0.2
2014-05-01,56.9,1.7,Northeast Climate Region,4.66,1.00,68.1,1.0,45.7,2.4
2014-06-01,65.7,1.7,Northeast Climate Region,4.59,0.72,76.9,1.3,54.4,1.9
2014-07-01,68.9,0.0,Northeast Climate Region,5.46,1.48,79.4,-0.8,58.3,0.7
2014-08-01,66.2,-0.5,Northeast Climate Region,3.74,-0.10,77.0,-0.9,55.5,-0.1
2014-09-01,60.9,1.3,Northeast Climate Region,1.93,-1.76,72.1,1.4,49.7,1.2
2014-10-01,51.9,3.2,Northeast Climate Region,4.52,1.12,61.0,1.5,42.9,5.0
2014-11-01,36.0,-1.2,Northeast Climate Region,3.06,-0.44,44.1,-1.6,27.8,-0.9
2014-12-01,31.6,5.9,Northeast Climate Region,4.19,0.87,37.9,4.0,25.2,7.8
